case                                                         | baseline_ms | kernel_ms | speedup(x)
-------------------------------------------------------------+-------------+-----------+-----------
{"K":2048,"M":1,"N":4096,"in_dtype":"torch.float8_e4m3fn"}   | 0.008719    | 0.005163  | 1.689     
{"K":2048,"M":1,"N":2048,"in_dtype":"torch.float8_e4m3fn"}   | 0.007809    | 0.004370  | 1.787     
{"K":2048,"M":1,"N":12288,"in_dtype":"torch.float8_e4m3fn"}  | 0.015069    | 0.012701  | 1.186     
{"K":6144,"M":1,"N":2048,"in_dtype":"torch.float8_e4m3fn"}   | 0.013303    | 0.007064  | 1.883     
{"K":2560,"M":1,"N":6144,"in_dtype":"torch.float8_e4m3fn"}   | 0.011704    | 0.009515  | 1.230     
{"K":4096,"M":1,"N":2560,"in_dtype":"torch.float8_e4m3fn"}   | 0.010441    | 0.005835  | 1.789     
{"K":2560,"M":1,"N":19456,"in_dtype":"torch.float8_e4m3fn"}  | 0.027165    | 0.020897  | 1.300     
{"K":9728,"M":1,"N":2560,"in_dtype":"torch.float8_e4m3fn"}   | 0.017997    | 0.012814  | 1.404     
{"K":4096,"M":1,"N":6144,"in_dtype":"torch.float8_e4m3fn"}   | 0.015543    | 0.012719  | 1.222     
{"K":4096,"M":1,"N":4096,"in_dtype":"torch.float8_e4m3fn"}   | 0.012646    | 0.009877  | 1.280     
{"K":4096,"M":1,"N":24576,"in_dtype":"torch.float8_e4m3fn"}  | 0.044920    | 0.037196  | 1.208     
{"K":12288,"M":1,"N":4096,"in_dtype":"torch.float8_e4m3fn"}  | 0.029612    | 0.021160  | 1.399     
{"K":5120,"M":1,"N":7168,"in_dtype":"torch.float8_e4m3fn"}   | 0.020882    | 0.016619  | 1.257     
{"K":5120,"M":1,"N":5120,"in_dtype":"torch.float8_e4m3fn"}   | 0.016818    | 0.012968  | 1.297     
{"K":5120,"M":1,"N":34816,"in_dtype":"torch.float8_e4m3fn"}  | 0.071698    | 0.062395  | 1.149     
{"K":17408,"M":1,"N":5120,"in_dtype":"torch.float8_e4m3fn"}  | 0.042858    | 0.034068  | 1.258     
