case                                                         | baseline_ms | kernel_ms | speedup(x)
-------------------------------------------------------------+-------------+-----------+-----------
{"K":2048,"M":1,"N":4096,"in_dtype":"torch.float8_e4m3fn"}   | 0.006757    | 0.006389  | 1.058     
{"K":2048,"M":1,"N":2048,"in_dtype":"torch.float8_e4m3fn"}   | 0.005544    | 0.005359  | 1.035     
{"K":2048,"M":1,"N":12288,"in_dtype":"torch.float8_e4m3fn"}  | 0.014582    | 0.012129  | 1.202     
{"K":6144,"M":1,"N":2048,"in_dtype":"torch.float8_e4m3fn"}   | 0.008716    | 0.008611  | 1.012     
{"K":2560,"M":1,"N":6144,"in_dtype":"torch.float8_e4m3fn"}   | 0.009524    | 0.008638  | 1.103     
{"K":4096,"M":1,"N":2560,"in_dtype":"torch.float8_e4m3fn"}   | 0.007802    | 0.006713  | 1.162     
{"K":2560,"M":1,"N":19456,"in_dtype":"torch.float8_e4m3fn"}  | 0.026123    | 0.021040  | 1.242     
{"K":9728,"M":1,"N":2560,"in_dtype":"torch.float8_e4m3fn"}   | 0.013445    | 0.012794  | 1.051     
{"K":4096,"M":1,"N":6144,"in_dtype":"torch.float8_e4m3fn"}   | 0.013240    | 0.012422  | 1.066     
{"K":4096,"M":1,"N":4096,"in_dtype":"torch.float8_e4m3fn"}   | 0.009894    | 0.009111  | 1.086     
{"K":4096,"M":1,"N":24576,"in_dtype":"torch.float8_e4m3fn"}  | 0.043890    | 0.037924  | 1.157     
{"K":12288,"M":1,"N":4096,"in_dtype":"torch.float8_e4m3fn"}  | 0.024904    | 0.021256  | 1.172     
{"K":5120,"M":1,"N":7168,"in_dtype":"torch.float8_e4m3fn"}   | 0.017827    | 0.016668  | 1.070     
{"K":5120,"M":1,"N":5120,"in_dtype":"torch.float8_e4m3fn"}   | 0.014148    | 0.013257  | 1.067     
{"K":5120,"M":1,"N":34816,"in_dtype":"torch.float8_e4m3fn"}  | 0.067930    | 0.063169  | 1.075     
{"K":17408,"M":1,"N":5120,"in_dtype":"torch.float8_e4m3fn"}  | 0.040266    | 0.034383  | 1.171     
{"K":5120,"M":1,"N":10240,"in_dtype":"torch.float8_e4m3fn"}  | 0.026395    | 0.022354  | 1.181     
{"K":8192,"M":1,"N":5120,"in_dtype":"torch.float8_e4m3fn"}   | 0.020803    | 0.018010  | 1.155     
{"K":5120,"M":1,"N":51200,"in_dtype":"torch.float8_e4m3fn"}  | 0.094375    | 0.090036  | 1.048     
{"K":25600,"M":1,"N":5120,"in_dtype":"torch.float8_e4m3fn"}  | 0.055828    | 0.048534  | 1.150     
{"K":5120,"M":1,"N":14336,"in_dtype":"torch.float8_e4m3fn"}  | 0.034433    | 0.029555  | 1.165     
{"K":6144,"M":1,"N":5120,"in_dtype":"torch.float8_e4m3fn"}   | 0.016259    | 0.015054  | 1.080     
{"K":5120,"M":1,"N":16384,"in_dtype":"torch.float8_e4m3fn"}  | 0.037793    | 0.032643  | 1.158     
{"K":2048,"M":2,"N":4096,"in_dtype":"torch.float8_e4m3fn"}   | 0.006925    | 0.006072  | 1.141     
{"K":2048,"M":2,"N":2048,"in_dtype":"torch.float8_e4m3fn"}   | 0.005630    | 0.005749  | 0.979     
{"K":2048,"M":2,"N":12288,"in_dtype":"torch.float8_e4m3fn"}  | 0.014739    | 0.012390  | 1.190     
{"K":6144,"M":2,"N":2048,"in_dtype":"torch.float8_e4m3fn"}   | 0.008762    | 0.008649  | 1.013     
{"K":2560,"M":2,"N":6144,"in_dtype":"torch.float8_e4m3fn"}   | 0.009600    | 0.008724  | 1.100     
{"K":4096,"M":2,"N":2560,"in_dtype":"torch.float8_e4m3fn"}   | 0.007843    | 0.006818  | 1.150     
{"K":2560,"M":2,"N":19456,"in_dtype":"torch.float8_e4m3fn"}  | 0.026331    | 0.021653  | 1.216     
{"K":9728,"M":2,"N":2560,"in_dtype":"torch.float8_e4m3fn"}   | 0.013513    | 0.013203  | 1.023     
{"K":4096,"M":2,"N":6144,"in_dtype":"torch.float8_e4m3fn"}   | 0.013325    | 0.013104  | 1.017     
{"K":4096,"M":2,"N":4096,"in_dtype":"torch.float8_e4m3fn"}   | 0.010038    | 0.009160  | 1.096     
{"K":4096,"M":2,"N":24576,"in_dtype":"torch.float8_e4m3fn"}  | 0.044159    | 0.038326  | 1.152     
{"K":12288,"M":2,"N":4096,"in_dtype":"torch.float8_e4m3fn"}  | 0.024948    | 0.021632  | 1.153     
{"K":5120,"M":2,"N":7168,"in_dtype":"torch.float8_e4m3fn"}   | 0.017845    | 0.017063  | 1.046     
{"K":5120,"M":2,"N":5120,"in_dtype":"torch.float8_e4m3fn"}   | 0.014155    | 0.013414  | 1.055     
{"K":5120,"M":2,"N":34816,"in_dtype":"torch.float8_e4m3fn"}  | 0.068611    | 0.063504  | 1.080     
{"K":17408,"M":2,"N":5120,"in_dtype":"torch.float8_e4m3fn"}  | 0.040526    | 0.034297  | 1.182     
{"K":5120,"M":2,"N":10240,"in_dtype":"torch.float8_e4m3fn"}  | 0.026593    | 0.022418  | 1.186     
{"K":8192,"M":2,"N":5120,"in_dtype":"torch.float8_e4m3fn"}   | 0.020909    | 0.018642  | 1.122     
{"K":5120,"M":2,"N":51200,"in_dtype":"torch.float8_e4m3fn"}  | 0.094626    | 0.090544  | 1.045     
{"K":25600,"M":2,"N":5120,"in_dtype":"torch.float8_e4m3fn"}  | 0.055903    | 0.048157  | 1.161     
{"K":5120,"M":2,"N":14336,"in_dtype":"torch.float8_e4m3fn"}  | 0.034698    | 0.029685  | 1.169     
{"K":6144,"M":2,"N":5120,"in_dtype":"torch.float8_e4m3fn"}   | 0.016266    | 0.015276  | 1.065     
{"K":5120,"M":2,"N":16384,"in_dtype":"torch.float8_e4m3fn"}  | 0.038287    | 0.033026  | 1.159     
{"K":2048,"M":4,"N":4096,"in_dtype":"torch.float8_e4m3fn"}   | 0.006897    | 0.006492  | 1.062     
{"K":2048,"M":4,"N":2048,"in_dtype":"torch.float8_e4m3fn"}   | 0.005640    | 0.005675  | 0.994     
{"K":2048,"M":4,"N":12288,"in_dtype":"torch.float8_e4m3fn"}  | 0.014807    | 0.012420  | 1.192     
{"K":6144,"M":4,"N":2048,"in_dtype":"torch.float8_e4m3fn"}   | 0.008769    | 0.008648  | 1.014     
{"K":2560,"M":4,"N":6144,"in_dtype":"torch.float8_e4m3fn"}   | 0.009643    | 0.008723  | 1.105     
{"K":4096,"M":4,"N":2560,"in_dtype":"torch.float8_e4m3fn"}   | 0.007883    | 0.006859  | 1.149     
{"K":2560,"M":4,"N":19456,"in_dtype":"torch.float8_e4m3fn"}  | 0.026369    | 0.021598  | 1.221     
{"K":9728,"M":4,"N":2560,"in_dtype":"torch.float8_e4m3fn"}   | 0.013474    | 0.013264  | 1.016     
{"K":4096,"M":4,"N":6144,"in_dtype":"torch.float8_e4m3fn"}   | 0.013301    | 0.012492  | 1.065     
{"K":4096,"M":4,"N":4096,"in_dtype":"torch.float8_e4m3fn"}   | 0.009967    | 0.009177  | 1.086     
{"K":4096,"M":4,"N":24576,"in_dtype":"torch.float8_e4m3fn"}  | 0.044005    | 0.038440  | 1.145     
{"K":12288,"M":4,"N":4096,"in_dtype":"torch.float8_e4m3fn"}  | 0.025280    | 0.021680  | 1.166     
{"K":5120,"M":4,"N":7168,"in_dtype":"torch.float8_e4m3fn"}   | 0.017832    | 0.017146  | 1.040     
{"K":5120,"M":4,"N":5120,"in_dtype":"torch.float8_e4m3fn"}   | 0.014173    | 0.013639  | 1.039     
