case                                                | baseline_ms | kernel_ms | speedup(x)
----------------------------------------------------+-------------+-----------+-----------
{"K":2048,"M":1,"N":4096,"in_dtype":"torch.int8"}   | 0.007383    | 0.005839  | 1.264     
{"K":2048,"M":1,"N":2048,"in_dtype":"torch.int8"}   | 0.006477    | 0.004750  | 1.364     
{"K":2048,"M":1,"N":12288,"in_dtype":"torch.int8"}  | 0.014676    | 0.012340  | 1.189     
{"K":6144,"M":1,"N":2048,"in_dtype":"torch.int8"}   | 0.011317    | 0.007849  | 1.442     
{"K":2560,"M":1,"N":6144,"in_dtype":"torch.int8"}   | 0.010287    | 0.008505  | 1.210     
{"K":4096,"M":1,"N":2560,"in_dtype":"torch.int8"}   | 0.009105    | 0.007135  | 1.276     
{"K":2560,"M":1,"N":19456,"in_dtype":"torch.int8"}  | 0.028211    | 0.020900  | 1.350     
{"K":9728,"M":1,"N":2560,"in_dtype":"torch.int8"}   | 0.017126    | 0.012541  | 1.366     
{"K":4096,"M":1,"N":6144,"in_dtype":"torch.int8"}   | 0.013724    | 0.012689  | 1.082     
{"K":4096,"M":1,"N":4096,"in_dtype":"torch.int8"}   | 0.010499    | 0.008961  | 1.172     
{"K":4096,"M":1,"N":24576,"in_dtype":"torch.int8"}  | 0.046330    | 0.037272  | 1.243     
{"K":12288,"M":1,"N":4096,"in_dtype":"torch.int8"}  | 0.026768    | 0.020803  | 1.287     
{"K":5120,"M":1,"N":7168,"in_dtype":"torch.int8"}   | 0.019030    | 0.016415  | 1.159     
{"K":5120,"M":1,"N":5120,"in_dtype":"torch.int8"}   | 0.014801    | 0.012957  | 1.142     
{"K":5120,"M":1,"N":34816,"in_dtype":"torch.int8"}  | 0.073083    | 0.062641  | 1.167     
{"K":17408,"M":1,"N":5120,"in_dtype":"torch.int8"}  | 0.040710    | 0.033842  | 1.203     
{"K":5120,"M":1,"N":10240,"in_dtype":"torch.int8"}  | 0.026530    | 0.021669  | 1.224     
{"K":8192,"M":1,"N":5120,"in_dtype":"torch.int8"}   | 0.021900    | 0.017796  | 1.231     
